Status,Bill,Created,Client Name,Quantity,Amount,Balance,Options
Closed,PUR106,28/10/2025,SHADON MEDICAL DIAGNOSTIC LABORATORIES,8.00,27500,27500,Options Bill Lines Edit Print Void entries
Closed,PUR105,07/11/2025,BIBO PHARMACEUTICALS LTD,1.00,4190,4190,Options Bill Lines Edit Print Void entries
Closed,PUR103,07/11/2025,ASCEND MEDICAL SUPPLIES,1.00,5580,5580,Options Bill Lines Edit Print Void entries
Closed,PUR101,07/11/2025,KEVTON COMPUTERS,3.00,1800,1800,Options Bill Lines Edit Print Void entries
Closed,PUR100,10/11/2025,RAPMART BUREAU SERVICES,500.00,10000,10000,Options Bill Lines Edit Print Void entries
Closed,PUR099,10/11/2025,MULTIGEN SUPPLIES LIMITED,15.00,15000,15000,Options Bill Lines Edit Print Void entries
Closed,PUR095,07/11/2025,CYFRAS TECHNOLOGIES,1.00,192000,192000,Options Bill Lines Edit Print Void entries
Closed,PUR093,03/11/2025,SEROPHARM EAST AFRICA LIMITED,2.00,700,700,Options Bill Lines Edit Print Void entries
Closed,PUR092,06/11/2025,AFRICAN KINGS SUPPLIERS LIMITED,4.00,10220,10220,Options Bill Lines Edit Print Void entries
Closed,PUR090,04/11/2025,BIOCARE 3 IN ONE AGENCIES,110.00,104500,104500,Options Bill Lines Edit Print Void entries
Closed,PUR089,04/11/2025,BIOCARE HEALTH SYSTEMS LTD,110.00,104500,104500,Options Bill Lines Edit Print Void entries
Closed,PUR088,04/11/2025,MICROARRAY LIMITED,2.00,24000,24000,Options Bill Lines Edit Print Void entries
Closed,PUR087,04/11/2025,BIBO PHARMACEUTICALS LTD,10.00,3400,3400,Options Bill Lines Edit Print Void entries
Closed,PUR086,04/11/2025,BIOCARE 3 IN ONE AGENCIES,10.00,21000,21000,Options Bill Lines Edit Print Void entries
Closed,PUR085,05/11/2025,EQUIDENT HEALTHCARE LIMITED,2.00,500,500,Options Bill Lines Edit Print Void entries
Closed,PUR084,30/10/2025,ALPHA SURGICALS SUPPLIES LIMITED,2000.00,15000,15000,Options Bill Lines Edit Print Void entries
Closed,PUR083,05/11/2025,SAMADAC DIAGNOSTIC LIMITED,1.00,3200,3200,Options Bill Lines Edit Print Void entries
Closed,PUR082,04/11/2025,BEULA FASHION LTD,5.00,1250,1250,Options Bill Lines Edit Print Void entries
Closed,PUR081,04/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,24.00,13200,13200,Options Bill Lines Edit Print Void entries
Closed,PUR080,06/11/2025,CHEMOQUIP LTD,2.00,4176,4176,Options Bill Lines Edit Print Void entries
