Quote,Created,﻿ ﻿ sales person,Client Name,Status,Total Amount,Options
QT417,31/03/2026,,NORTH KINANGOP CATHOLIC HOSPITAL,Draft,"697,000.00",Options quote Lines Edit View Quote Print
QT416,30/03/2026,Cornelius Onuncho,WESTGATE MEDICAL LABORATORY,Draft,"121,860.00",Options quote Lines Edit View Quote Print
QT414,30/03/2026,,JANE,Draft,0.00,Options quote Lines Edit View Quote Print
QT413,30/03/2026,,MOTHER ANGELA HURUMA HOSPITAL,Draft,"1,315,000.00",Options quote Lines Edit View Quote Print
QT412,30/03/2026,,ST ANN IGOJI HOSPITAL,Draft,"1,112,500.00",Options quote Lines Edit View Quote Print
QT411,30/03/2026,,AGC LIONS NGOSWANI HOSPITAL,Draft,"1,827,000.00",Options quote Lines Edit View Quote Print
QT410,30/03/2026,,KIVULI DISPENSARY,Draft,"40,000.00",Options quote Lines Edit View Quote Print
QT409,30/03/2026,,BRIAN JAKE MEMORIAL HOSPITAL,Draft,"58,450.00",Options quote Lines Edit View Quote Print
QT408,27/03/2026,,TOP CARE NURSING HOME,Draft,36.00,Options quote Lines Edit View Quote Print
QT407,27/03/2026,,SHIMO ANNEX DISPENSARY,Draft,"56,150.00",Options quote Lines Edit View Quote Print
QT405,27/03/2026,,PCEA CHOGORIA HOSPITAL,Draft,"320,000.00",Options quote Lines Edit View Quote Print
QT404,27/03/2026,,,Draft,"320,000.00",Options quote Lines Edit View Quote Print
QT402,26/03/2026,,JOSEPH SMITH HOSPITAL,Draft,"442,400.00",Options quote Lines Edit View Quote Print
QT401,26/03/2026,,JOSEPH SMITH HOSPITAL,Draft,"61,000.00",Options quote Lines Edit View Quote Print
QT399,26/03/2026,,MAKUENI DOCTORS PLAZA LTD,Draft,0.00,Options quote Lines Edit View Quote Print
QT398,26/03/2026,,KAMUKUYWA HIGHWAY MEDICAL,Draft,"375,000.00",Options quote Lines Edit View Quote Print
QT397,26/03/2026,,HOLY SPIRIT HEALTH CENTER,Draft,"230,000.00",Options quote Lines Edit View Quote Print
QT396,26/03/2026,,MAKUENI DOCTORS PLAZA LTD,Draft,0.00,Options quote Lines Edit View Quote Print
QT395,26/03/2026,,ST ELIZABETH MISSION HOSPITAL,Draft,"150,000.00",Options quote Lines Edit View Quote Print
QT393,25/03/2026,,MULUTU CATHOLIC DISPENSARY,Draft,"53,500.00",Options quote Lines Edit View Quote Print
QT391,25/03/2026,,MAWENI CDF DISPENSARY,Draft,"210,000.00",Options quote Lines Edit View Quote Print
QT390,24/03/2026,,ALMISBAH MEDICAL CENTRE,Draft,"77,540.00",Options quote Lines Edit View Quote Print
QT389,24/03/2026,,ST FRANCIS MISSION,Draft,"2,802,000.00",Options quote Lines Edit View Quote Print
QT388,24/03/2026,Vivian Kawira,MIRITINI MCM DISPENSARY,Draft,"95,400.00",Options quote Lines Edit View Quote Print
QT387,24/03/2026,,DICKSON,Draft,"144,900.00",Options quote Lines Edit View Quote Print
QT386,24/03/2026,,ANDERSEN MEDICAL CENTRE,Draft,"16,250.00",Options quote Lines Edit View Quote Print
QT385,24/03/2026,,ULTRACARE SPECIALIST HOSPITAL,Draft,"5,650,000.00",Options quote Lines Edit View Quote Print
QT384,24/03/2026,,ST FRANCIS MISSION,Draft,0.00,Options quote Lines Edit View Quote Print
QT383,24/03/2026,,ST MARY'S MISIKHU MISSION HOSPITAL,Draft,"3,033,200.00",Options quote Lines Edit View Quote Print
QT382,23/03/2026,,BAYAAN NURSING HOME,Draft,"15,000.00",Options quote Lines Edit View Quote Print
